Date,AUTO,BANK,CHEMICALS,CONSUMER DURABLES,FINANCIAL SERVICES,FMCG,HEALTHCARE,IT,MEDIA,METAL,OIL & GAS,PHARMA,PRIVATE BANK,PSU BANK,REALTY
2010-01-05,-0.0022982715738438797,0.008757345799930816,0.010369512010223403,0.0036021645586126194,0.007546707337001024,0.00835391076273817,0.006774636445263882,0.006193372750861403,0.012326426640986599,0.04325651444734624,0.01152150170902888,0.006672437903709083,0.009425776602028701,0.009962393808261583,0.01101992966002352
2010-01-06,-0.00864941621962756,0.003356124519291015,0.030494504022166025,0.005692430123593217,0.0022408373000748494,0.005971837727003049,0.01818164658805088,-0.015007651788658483,0.0011906296221284585,-0.014196223804468056,0.007425231785151087,0.02325827534199454,0.0005207866678613726,0.005141035046134945,0.015422077922077726
2010-01-07,-0.014607253015193056,-0.0032581589504498965,-0.012653356285852402,0.006689705846730343,-0.00467932466691845,-0.0032736630965446434,-0.00821708300505164,-0.02095314941029014,0.0010850042603274268,0.002038403108919784,0.009631035857593728,-0.010927803061646646,-0.0001231327202816379,-0.006146992800400097,-0.007784248791442905
2010-01-08,0.0002874955583551664,-0.003508123072571867,-0.012520542749989483,-0.005758950234809657,-0.003915511658469817,0.0011133380886385602,0.0021028332172881026,-0.016649569951866283,0.0026207825607740265,-0.009499269286977974,-0.0011086153177305436,0.0036994044351021937,-0.0020011531120029957,-0.003306084951754662,0.03207181631596101
2010-01-11,0.012197287984524907,0.0014027312323292573,0.013442079041558364,0.0011858903253132436,0.004447769314472216,0.0031195690307932455,0.0003497367647951055,0.0074448545801457655,0.023696393018114215,0.006735534234538099,-0.0045046678804848694,-0.00030475972170485033,0.006652102339173238,0.0008953103351103664,0.026558869993495104
2010-01-12,-0.0009571331946554018,-0.020542756075891955,-0.020822038938686616,-0.01118412305758465,-0.018237707692932648,-0.01598145152360564,-0.007891964460521428,0.03765720000354,-0.0003997184073309956,-0.01879258932975536,-0.011148678189396355,-0.007665610539042023,-0.01591024958838394,-0.022307013247538587,-0.032045479233805296
2010-01-13,-0.007495145879106935,-0.0065664266396590065,0.0065525304378208915,0.0036058720709928327,-0.004286884725835383,-0.0017002625183371034,0.0036696126937587614,0.03640147379912673,0.012873692189243835,0.006822747179772604,0.004443429177781288,0.0020664303531574557,-0.005973275959687441,-0.00755032802080613,0.003535089031871941
2010-01-14,0.0026802750419094856,-0.0017140744558095111,0.007796896194473879,0.008030269813817936,0.002565473601387591,-0.006851122792354891,0.0068910631524743415,0.004855327693472411,0.006246022579960986,0.0020198035263345737,0.01885055278815062,0.0044911787903165745,0.00718252499074401,-0.004763545577096351,-0.004044508228803534
2010-01-15,0.0036743233789655605,3.366701081852774e-05,-0.0026336148881376253,-0.003068917743338506,-0.00036476885537195525,0.005287285048332979,-0.0012646339535620221,0.0021456767071232896,-0.0023599269183921523,-0.0073001082712688126,-0.008575841472942214,-0.0003521576831677642,0.007388619320688239,-0.005481823427582189,0.00653117748334453
2010-01-18,0.016724910236693757,0.02044079855461156,0.013394114240477872,0.009845112186608773,0.014866990471082975,-0.0003414529373213515,-0.004785624505376673,0.010255949267782505,0.01675813694127304,-0.008572538132302188,0.001024058102587544,-0.004130829610454634,0.03070747898334103,0.00962240239414891,-0.0009668123082643421
